scenario_name,average_wait_time,max_wait_time,p90_wait_time,max_queue_length,groups_served,groups_abandoned,service_level_within_15_min,service_level_within_30_min,table_utilization_overall,reservation_fulfillment_rate,average_reservation_delay,average_table_fit_efficiency,notes
pair_07_fcfs_vs_best_fit_A,14.0,55,45.0,10,30,0,0.6667,0.6667,0.1764,1.0,11.25,0.8958,Simulation-generated metrics using size_based queues and earliest_suitable seating.
pair_07_fcfs_vs_best_fit_B,13.6333,46,43.3,10,30,0,0.6667,0.6667,0.1764,1.0,10.5,0.9042,Simulation-generated metrics using size_based queues and best_fit seating.
