scenario_name,average_wait_time,max_wait_time,p90_wait_time,max_queue_length,groups_served,groups_abandoned,service_level_within_15_min,service_level_within_30_min,table_utilization_overall,reservation_fulfillment_rate,average_reservation_delay,average_table_fit_efficiency,notes
pair_02_single_vs_multi_queue_A,49.3214,124,112.2,13,28,0,0.3571,0.3929,0.1002,1.0,38.6,0.9435,Simulation-generated metrics using single queues and earliest_suitable seating.
pair_02_single_vs_multi_queue_B,19.4286,115,55.9,7,28,0,0.6786,0.7143,0.1002,1.0,13.2,0.9435,Simulation-generated metrics using size_based queues and earliest_suitable seating.
