scenario_name,average_wait_time,max_wait_time,p90_wait_time,max_queue_length,groups_served,groups_abandoned,service_level_within_15_min,service_level_within_30_min,table_utilization_overall,reservation_fulfillment_rate,average_reservation_delay,average_table_fit_efficiency,notes
pair_01_table_mix_A,174.4444,491,429.5,19,36,0,0.3889,0.3889,0.1672,1.0,222.2727,0.9167,Simulation-generated metrics using size_based queues and best_fit seating.
pair_01_table_mix_B,33.2222,140,94.0,11,36,0,0.5556,0.5556,0.1931,1.0,43.0909,0.9294,Simulation-generated metrics using size_based queues and best_fit seating.
